"model_name","source_file","status_field_refs","tenant_field_refs","confidence"
"complianceEventCanonicalModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceEventCanonicalModel.js","2","5","Confirmed from code"
"complianceEventRawModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceEventRawModel.js","0","3","Confirmed from code"
"complianceGuidelineDocumentModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceGuidelineDocumentModel.js","3","5","Confirmed from code"
"complianceGuidelineVectorModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceGuidelineVectorModel.js","2","3","Confirmed from code"
"complianceQuestionResultModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceQuestionResultModel.js","1","3","Confirmed from code"
"complianceResponseSnapshotModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceResponseSnapshotModel.js","0","3","Confirmed from code"
"complianceStandardRegistryModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceStandardRegistryModel.js","3","6","Confirmed from code"
"compliance-standards","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\complianceStandardModel.js","0","4","Confirmed from code"
"controls","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\controlModel.js","0","4","Confirmed from code"
"customAudit-question","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\customAuditQuestionModels.js","1","0","Confirmed from code"
"digilocker_documents","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerDocumentModel.js","2","4","Confirmed from code"
"digilockerAccessPolicyModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerAccessPolicyModel.js","0","3","Confirmed from code"
"digilockerAuditEvidenceChecklistModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerAuditEvidenceChecklistModel.js","1","3","Confirmed from code"
